# t (s)	mx	my	mz	skyrmionx (m)	skyrmiony (m)	skyrmionz (m)	Q
1.7799999999999978e-9	8.099314614554894e-5	-3.482505054241797e-5	0.9926870722698126	-1.6370703965158954e-8	3.713652793836126e-8	0.0	-0.9372753834911924
1.7999999999999977e-9	8.097861847950193e-5	-3.4869975232355843e-5	0.9926876090183748	-1.9923792345788714e-8	3.7553165028324486e-8	0.0	-0.9372720531626272
1.8199999999999976e-9	8.097575104442621e-5	-3.4897161193139086e-5	0.9926880948942369	-2.3476835319496476e-8	3.796977365294713e-8	0.0	-0.9372687260970343
1.8399999999999976e-9	8.097509566327945e-5	-3.492386181600149e-5	0.9926886021927068	-2.7029876228203237e-8	3.8386379949160916e-8	0.0	-0.937265056203583
1.8599999999999975e-9	8.096289588382404e-5	-3.496878011901518e-5	0.9926891862504302	-3.058288430038012e-8	3.880297758532512e-8	0.0	-0.9372610891168931
1.8799999999999976e-9	8.0943040307828e-5	-3.50232151494188e-5	0.9926898035196917	-3.413579866894712e-8	3.92195354740944e-8	0.0	-0.9372571474339928
1.8999999999999976e-9	8.093151892527088e-5	-3.506554183587232e-5	0.9926903768793854	-3.768861663834969e-8	3.9636044226391974e-8	0.0	-0.9372534056607538
1.9199999999999975e-9	8.093124096011975e-5	-3.5094949989731506e-5	0.9926909105590017	-4.124139611768493e-8	4.0052530718887255e-8	0.0	-0.9372496924148767
1.9399999999999974e-9	8.092698976918885e-5	-3.5131749211974794e-5	0.9926914837834749	-4.479416874352765e-8	4.046901696609649e-8	0.0	-0.9372457097121079
1.9599999999999974e-9	8.090919607298803e-5	-3.5185283832014494e-5	0.9926921331809819	-4.834689156226155e-8	4.0885485155355244e-8	0.0	-0.9372413962179468
1.9799999999999973e-9	8.088927748109319e-5	-3.5240492053321545e-5	0.9926927990151038	-5.189950857854754e-8	4.130190338160982e-8	0.0	-0.9372370261975336
1.9999999999999972e-9	8.088182598351241e-5	-3.5282387770728456e-5	0.9926934147374301	-5.5452031651007645e-8	4.171827372245231e-8	0.0	-0.9372328777979378
1.9999999999999972e-9	8.088182598351241e-5	-3.5282387770728456e-5	0.9926934147374301	-5.5452031651007645e-8	4.171827372245231e-8	0.0	-0.9372328777979378
2.019999999999997e-9	8.088155472379222e-5	-3.531868064582424e-5	0.9926940059437334	-5.900452147189445e-8	4.2134628816587784e-8	0.0	-0.9372288353630883
2.039999999999997e-9	8.087150437443364e-5	-3.5366410804915245e-5	0.9926946520876788	-6.255699633596812e-8	4.255098122457083e-8	0.0	-0.9372244860052398
2.059999999999997e-9	8.084974486522377e-5	-3.542571050105115e-5	0.992695368816623	-6.610940299189585e-8	4.296730302179679e-8	0.0	-0.937219687810006
2.079999999999997e-9	8.083235311912383e-5	-3.548141944483043e-5	0.9926960858046092	-6.966169305409724e-8	4.338356745973327e-8	0.0	-0.9372148381541298
2.099999999999997e-9	8.082803315258473e-5	-3.5527158405325275e-5	0.9926967519681534	-7.321389261222778e-8	4.379978897029591e-8	0.0	-0.9372103405459288
